input_size,divide_and_conquer,brute_force
2200,0.000067877,0.001888221
2205,0.000068604,0.001896859
2210,0.000068714,0.001905333
2215,0.000069101,0.001913965
2220,0.000069646,0.001922569
2225,0.000069666,0.001933274
2230,0.000069673,0.001940013
2235,0.000069694,0.001948419
2240,0.000069514,0.001957069
2245,0.000069846,0.001965781
2250,0.000070008,0.001977735
2255,0.000069689,0.001983266
2260,0.000071195,0.001991963
2265,0.000070031,0.002002720
2270,0.000070158,0.002009705
2275,0.000070051,0.002018385
2280,0.000070127,0.002027249
2285,0.000070029,0.002036050
2290,0.000070268,0.002075680
2295,0.000070333,0.002053767
2300,0.000070139,0.002064765
2305,0.000071469,0.002079994
2310,0.000070478,0.002080527
2315,0.000071107,0.002089441
2320,0.000071691,0.002098292
2325,0.000072479,0.002107432
2330,0.000072341,0.002119922
2335,0.000071720,0.002128396
2340,0.000072408,0.002134605
2345,0.000072712,0.002143526
2350,0.000072613,0.002152540
2355,0.000072827,0.002162588
2360,0.000073512,0.002170949
2365,0.000073561,0.002180025
2370,0.000073838,0.002191610
2375,0.000074235,0.002198133
2380,0.000074154,0.002233807
2385,0.000073974,0.002216767
2390,0.000074346,0.002227212
2395,0.000074426,0.002235430
2400,0.000075059,0.002248021
2405,0.000074723,0.002257061
2410,0.000074598,0.002263378
2415,0.000074638,0.002272602
2420,0.000075303,0.002282868
2425,0.000075370,0.002291360
2430,0.000075191,0.002305635
2435,0.000077164,0.002310261
2440,0.000075550,0.002321539
2445,0.000076136,0.002336072
2450,0.000076211,0.002338626
2455,0.000075930,0.002349034
2460,0.000076067,0.002357564
2465,0.000076484,0.002367094
2470,0.000078036,0.002381331
2475,0.000076409,0.002386324
2480,0.000076694,0.002396735
2485,0.000076582,0.002405455
2490,0.000076389,0.002415932
2495,0.000076072,0.002424621
2500,0.000076890,0.002437801
2505,0.000076397,0.002444064
2510,0.000077791,0.002453704
2515,0.000076534,0.002464431
2520,0.000077125,0.002481810
2525,0.000077496,0.002483992
2530,0.000076874,0.002569675
2535,0.000082673,0.002570715
2540,0.000077523,0.002592652
2545,0.000077577,0.002525903
2550,0.000076890,0.002539062
2555,0.000077577,0.002570214
2560,0.000104219,0.002576345
2565,0.000077980,0.002562736
2570,0.000078475,0.002572651
2575,0.000078359,0.002581891
2580,0.000079525,0.002592667
2585,0.000079340,0.002628933
2590,0.000079432,0.002613733
2595,0.000080268,0.002622720
2600,0.000080083,0.002636279
2605,0.000080629,0.002642737
2610,0.000080383,0.002652085
2615,0.000081035,0.002662935
2620,0.000081287,0.002675063
2625,0.000080839,0.002683524
2630,0.000081113,0.002692669
2635,0.000081865,0.002703744
2640,0.000081922,0.002713850
2645,0.000082132,0.002724108
2650,0.000084860,0.002737654
2655,0.000083012,0.002743669
2660,0.000083219,0.002757352
2665,0.000082955,0.002765220
2670,0.000082824,0.002775489
2675,0.000083329,0.002814276
2680,0.000082706,0.002796230
2685,0.000082681,0.002806572
2690,0.000083382,0.002817066
2695,0.000083816,0.002827405
2700,0.000083882,0.002839897
2705,0.000084230,0.002855897
2710,0.000085438,0.002857860
2715,0.000086045,0.002871622
2720,0.000085584,0.002879029
2725,0.000085210,0.002890358
2730,0.000085411,0.002902808
2735,0.000085265,0.002911768
2740,0.000085291,0.002922205
2745,0.000085628,0.002932736
2750,0.000086249,0.002942538
2755,0.000087194,0.002955764
2760,0.000086385,0.003046311
2765,0.000087163,0.003080934
2770,0.000087682,0.003016087
2775,0.000086635,0.003027373
