input_size,divide_and_conquer,brute_force
12000,0.000407270,0.055686654
12030,0.000405991,0.056444792
12060,0.000407126,0.056268536
12090,0.000408453,0.056557637
12120,0.000408469,0.056835650
12150,0.000407219,0.057301731
12180,0.000409559,0.057377414
12210,0.000411159,0.057646877
12240,0.000409707,0.058144074
12270,0.000412969,0.058244184
12300,0.000412717,0.058850334
12330,0.000416919,0.058795076
12360,0.000417265,0.059122960
12390,0.000419435,0.059627273
12420,0.000424613,0.059867015
12450,0.000430242,0.059970285
12480,0.000425269,0.060237852
12510,0.000429053,0.060594409
12540,0.000428494,0.060993366
12570,0.000433863,0.061167841
12600,0.000431960,0.061424570
12630,0.000431917,0.061761198
12660,0.000436010,0.062567988
12690,0.000436552,0.062273093
12720,0.000441464,0.062735612
12750,0.000437444,0.062868349
12780,0.000437607,0.063375174
12810,0.000438934,0.063486295
12840,0.000441512,0.063759225
12870,0.000450873,0.064069841
12900,0.000456701,0.064558916
12930,0.000447549,0.064647527
12960,0.000447864,0.064992079
12990,0.000449587,0.065469405
13020,0.000450151,0.065768799
13050,0.000451056,0.065874500
13080,0.000451385,0.066206546
13110,0.000451925,0.066669788
13140,0.000458992,0.066779622
13170,0.000453505,0.067287991
13200,0.000456220,0.067371222
13230,0.000458275,0.068331877
13260,0.000455788,0.068028128
13290,0.000454327,0.068302759
13320,0.000455437,0.069305156
13350,0.000459955,0.069155247
13380,0.000461987,0.069225200
13410,0.000462756,0.069585030
13440,0.000465582,0.070128001
13470,0.000465551,0.070158671
13500,0.000465356,0.070574284
13530,0.000466869,0.070865732
13560,0.000468998,0.071313000
13590,0.000470286,0.071508676
13620,0.000489369,0.071946346
13650,0.000472944,0.072730754
13680,0.000471407,0.072389636
13710,0.000471409,0.072731739
13740,0.000473274,0.073051901
13770,0.000471749,0.073495352
13800,0.000475744,0.073678336
13830,0.000474172,0.073966730
13860,0.000476866,0.074467125
13890,0.000476753,0.074614597
13920,0.000479016,0.074989339
13950,0.000479057,0.075490937
13980,0.000480743,0.075558783
14010,0.000480394,0.076365936
14040,0.000482552,0.076422712
